id_batiment,nb_maisons,infra_id,infra_type,longueur
E000003,1,P007113,À remplacer,12.1935087083631
E000003,1,P007823,À remplacer,12.290282829583
E000003,1,P007984,À remplacer,30.0575979492587
E000067,1,P002851,À remplacer,10.8032015604234
E000067,1,P006193,À remplacer,12.1863879405322
E000067,1,P007624,À remplacer,4.10990474598487
E000085,1,P005500,À remplacer,13.1420349052071
E000085,1,P007447,À remplacer,2.84535154473363
E000085,1,P007990,À remplacer,18.7028610321555
E000098,1,P005531,À remplacer,14.8493095953268
E000098,1,P007639,À remplacer,6.13280316452202
E000106,1,P001391,À remplacer,7.63593644945982
E000106,1,P005500,À remplacer,13.1420349052071
E000106,1,P007752,À remplacer,3.12835142463862
E000106,1,P007990,À remplacer,18.7028610321555
E000107,1,P001391,À remplacer,7.63593644945982
E000107,1,P005500,À remplacer,13.1420349052071
E000107,1,P007689,À remplacer,5.1037127857757
E000107,1,P007990,À remplacer,18.7028610321555
E000108,1,P005500,À remplacer,13.1420349052071
E000108,1,P007476,À remplacer,4.92849119929359
E000108,1,P007991,À remplacer,7.5088306175948
E000108,1,P007997,À remplacer,30.1295771789513
E000109,1,P005500,À remplacer,13.1420349052071
E000109,1,P007572,À remplacer,5.62700791605979
E000109,1,P007991,À remplacer,7.5088306175948
E000109,1,P007997,À remplacer,30.1295771789513
E000110,1,P005500,À remplacer,13.1420349052071
E000110,1,P007554,À remplacer,8.72690474251765
E000110,1,P007991,À remplacer,7.5088306175948
E000110,1,P007998,À remplacer,37.0636340148083
E000111,1,P005770,À remplacer,13.8935987811649
E000111,1,P007813,À remplacer,1.36523196955369
E000111,1,P007985,À remplacer,10.4897301634131
E000112,1,P005664,À remplacer,12.9108403618454
E000112,1,P007448,À remplacer,7.9742290455672
E000127,1,P000873,À remplacer,5.46510947034025
E000127,1,P005117,À remplacer,13.2627025810985
E000127,1,P007790,À remplacer,5.85611808756648
E000128,1,P001156,À remplacer,13.4887076792516
E000128,1,P005317,À remplacer,11.95171127553
E000128,1,P007679,À remplacer,4.5706986139249
E000129,1,P005317,À remplacer,11.95171127553
E000129,1,P007485,À remplacer,5.64944506755882
E000129,1,P007999,À remplacer,42.1144223056854
E000144,1,P005117,À remplacer,13.2627025810985
E000144,1,P007737,À remplacer,4.66009795790718
E000144,1,P008002,À remplacer,12.5346743139761
E000144,1,P008006,À remplacer,17.9528543234573
E000145,1,P005117,À remplacer,13.2627025810985
E000145,1,P007638,À remplacer,5.10207355361142
E000145,1,P008002,À remplacer,12.5346743139761
E000145,1,P008007,À remplacer,6.84639309859005
E000146,1,P000644,À remplacer,5.79686473036686
E000146,1,P000719,À remplacer,10.698159350814
E000146,1,P000732,À remplacer,10.7871386086093
E000146,1,P005100,À remplacer,6.25975675306654
E000146,1,P007802,À remplacer,4.65316558492902
E000146,1,P008001,À remplacer,9.80181343246892
E000160,1,P000600,À remplacer,9.68226549663264
E000160,1,P000719,À remplacer,10.698159350814
E000160,1,P000723,À remplacer,13.1599422339419
E000160,1,P000732,À remplacer,10.7871386086093
E000160,1,P005100,À remplacer,6.25975675306654
E000160,1,P007641,À remplacer,6.69156313094176
E000160,1,P008001,À remplacer,9.80181343246892
E000160,1,P008005,À remplacer,8.40245186934037
E000161,1,P000604,À remplacer,4.98282106064181
E000161,1,P000719,À remplacer,10.698159350814
E000161,1,P000732,À remplacer,10.7871386086093
E000161,1,P005100,À remplacer,6.25975675306654
E000161,1,P007580,À remplacer,8.43108274854405
E000161,1,P008001,À remplacer,9.80181343246892
E000161,1,P008005,À remplacer,8.40245186934037
E000161,1,P008009,À remplacer,25.2059107325926
E000174,1,P000719,À remplacer,10.698159350814
E000174,1,P000723,À remplacer,13.1599422339419
E000174,1,P000732,À remplacer,10.7871386086093
E000174,1,P005100,À remplacer,6.25975675306654
E000174,1,P007785,À remplacer,8.13675729756796
E000174,1,P008001,À remplacer,9.80181343246892
E000174,1,P008005,À remplacer,8.40245186934037
E000174,1,P008008,À remplacer,34.1154172411379
E000174,1,P008021,À remplacer,14.9117118858221
E000175,1,P000719,À remplacer,10.698159350814
E000175,1,P000723,À remplacer,13.1599422339419
E000175,1,P000732,À remplacer,10.7871386086093
E000175,1,P005100,À remplacer,6.25975675306654
E000175,1,P007595,À remplacer,10.0082136912815
E000175,1,P008001,À remplacer,9.80181343246892
E000175,1,P008005,À remplacer,8.40245186934037
E000175,1,P008008,À remplacer,34.1154172411379
E000175,1,P008022,À remplacer,34.8372572653182
E000176,1,P000719,À remplacer,10.698159350814
E000176,1,P000732,À remplacer,10.7871386086093
E000176,1,P005100,À remplacer,6.25975675306654
E000176,1,P007562,À remplacer,10.7507961303452
E000176,1,P008001,À remplacer,9.80181343246892
E000176,1,P008005,À remplacer,8.40245186934037
E000176,1,P008009,À remplacer,25.2059107325926
E000176,1,P008015,À remplacer,34.6108377868067
E000176,1,P008023,À remplacer,11.2796548571624
E000177,1,P000719,À remplacer,10.698159350814
E000177,1,P000732,À remplacer,10.7871386086093
E000177,1,P005100,À remplacer,6.25975675306654
E000177,1,P007566,À remplacer,6.60727277655205
E000177,1,P008001,À remplacer,9.80181343246892
E000177,1,P008005,À remplacer,8.40245186934037
E000177,1,P008009,À remplacer,25.2059107325926
E000177,1,P008015,À remplacer,34.6108377868067
E000177,1,P008024,À remplacer,18.3100645954404
E000178,1,P000494,À remplacer,4.84007013228732
E000178,1,P000719,À remplacer,10.698159350814
E000178,1,P000732,À remplacer,10.7871386086093
E000178,1,P000750,À remplacer,5.4200839327337
E000178,1,P005100,À remplacer,6.25975675306654
E000178,1,P007727,À remplacer,6.32141109105695
E000178,1,P008001,À remplacer,9.80181343246892
E000178,1,P008003,À remplacer,16.9947899061457
E000178,1,P008004,À remplacer,4.2679056836056
E000183,1,P005000,À remplacer,2.71913580007238
E000183,1,P007530,À remplacer,12.7359304342272
E000183,1,P008027,À remplacer,20.455789433764
E000184,1,P005000,À remplacer,2.71913580007238
E000184,1,P007593,À remplacer,10.402928114011
E000184,1,P008028,À remplacer,36.9797725156077
E000185,1,P002717,À remplacer,6.93113318288768
E000185,1,P006106,À remplacer,12.8869548736554
E000185,1,P007565,À remplacer,6.4644213871373
E000188,1,P002445,À remplacer,6.96033389014315
E000188,1,P005915,À remplacer,12.8261922697184
E000188,1,P007764,À remplacer,4.11611330130554
E000193,1,P000719,À remplacer,10.698159350814
E000193,1,P000723,À remplacer,13.1599422339419
E000193,1,P000732,À remplacer,10.7871386086093
E000193,1,P005100,À remplacer,6.25975675306654
E000193,1,P007607,À remplacer,7.64056605573305
E000193,1,P008001,À remplacer,9.80181343246892
E000193,1,P008005,À remplacer,8.40245186934037
E000193,1,P008008,À remplacer,34.1154172411379
E000193,1,P008022,À remplacer,34.8372572653182
E000193,1,P008026,À remplacer,12.0182044137484
E000194,1,P000719,À remplacer,10.698159350814
E000194,1,P000732,À remplacer,10.7871386086093
E000194,1,P005100,À remplacer,6.25975675306654
E000194,1,P008001,À remplacer,9.80181343246892
E000195,1,P000719,À remplacer,10.698159350814
E000195,1,P000732,À remplacer,10.7871386086093
E000195,1,P005100,À remplacer,6.25975675306654
E000195,1,P008001,À remplacer,9.80181343246892
E000196,1,P000719,À remplacer,10.698159350814
E000196,1,P000732,À remplacer,10.7871386086093
E000196,1,P005100,À remplacer,6.25975675306654
E000196,1,P008001,À remplacer,9.80181343246892
E000197,1,P000494,À remplacer,4.84007013228732
