id_batiment,infra_id
E000001,"['P000308', 'P007111', 'P007819', 'P007983']"
E000002,"['P000308', 'P007111', 'P007240', 'P007983']"
E000003,"['P007111', 'P007113', 'P007823', 'P007984']"
E000004,"['P000308', 'P000378', 'P007111', 'P007393', 'P007983']"
E000005,"['P000308', 'P000378', 'P007111', 'P007249', 'P007983']"
E000006,"['P000308', 'P007111', 'P007173', 'P007983']"
E000007,"['P000181', 'P007111', 'P007132', 'P007982']"
E000008,"['P000352', 'P007111', 'P007320', 'P007982']"
E000009,"['P000352', 'P007111', 'P007286', 'P007982']"
E000010,"['P000352', 'P007111', 'P007115', 'P007982']"
E000011,"['P000352', 'P007111', 'P007321', 'P007982']"
E000012,"['P000241', 'P007111', 'P007150', 'P007982']"
E000013,"['P000241', 'P007111', 'P007151', 'P007982']"
E000014,"['P000241', 'P007111', 'P007397', 'P007982']"
E000015,"['P000020', 'P000160', 'P000348', 'P007111', 'P007255', 'P007983']"
E000016,"['P000020', 'P000160', 'P000348', 'P007111', 'P007333', 'P007983']"
E000017,"['P000029', 'P000241', 'P007111', 'P007325', 'P007982']"
E000018,"['P000029', 'P000241', 'P007111', 'P007381', 'P007982']"
E000019,"['P000170', 'P000241', 'P007111', 'P007215', 'P007982']"
E000020,"['P000170', 'P000241', 'P007111', 'P007145', 'P007982']"
E000021,"['P000170', 'P000241', 'P007111', 'P007225', 'P007982']"
E000022,"['P000040', 'P000241', 'P007111', 'P007277', 'P007982']"
E000023,"['P000241', 'P000298', 'P007111', 'P007122', 'P007982']"
E000024,"['P000241', 'P000298', 'P007111', 'P007368', 'P007982']"
E000025,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007251', 'P007982']"
E000026,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007243', 'P007982']"
E000027,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007146', 'P007982']"
E000028,"['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007338', 'P007982']"
E000029,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007328', 'P007982']"
E000030,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007244', 'P007982']"
E000031,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007133', 'P007982']"
E000032,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007152', 'P007982']"
E000033,"['P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007227', 'P007982']"
E000034,"['P000052', 'P000181', 'P000394', 'P000395', 'P007111', 'P007177', 'P007982']"
E000035,"['P000052', 'P000181', 'P000394', 'P000395', 'P007111', 'P007354', 'P007982']"
E000036,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007402', 'P007983']"
E000037,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007395', 'P007983']"
E000038,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007347', 'P007983']"
E000039,"['P000015', 'P000020', 'P000160', 'P000348', 'P007111', 'P007193', 'P007983']"
E000040,"['P000160', 'P000187', 'P000308', 'P007111', 'P007239', 'P007983']"
E000041,"['P000160', 'P000187', 'P000308', 'P007111', 'P007226', 'P007983']"
E000042,"['P000160', 'P000308', 'P000347', 'P007111', 'P007259', 'P007983']"
E000043,"['P000160', 'P000308', 'P000347', 'P007111', 'P007135', 'P007983']"
E000044,"['P000160', 'P000308', 'P000347', 'P007111', 'P007378', 'P007983']"
E000045,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007287', 'P007982']"
E000046,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007387', 'P007982']"
E000047,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007376', 'P007982']"
E000048,"['P000181', 'P000256', 'P000334', 'P000394', 'P000395', 'P007111', 'P007305', 'P007982']"
E000049,"['P000126', 'P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007200', 'P007982']"
E000050,"['P000126', 'P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007300', 'P007982']"
E000051,"['P000126', 'P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007184', 'P007982']"
E000052,"['P000126', 'P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007143', 'P007982']"
E000053,"['P000123', 'P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007120', 'P007982']"
E000054,"['P000123', 'P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007168', 'P007982']"
E000055,"['P000123', 'P000181', 'P000334', 'P000394', 'P000395', 'P007111', 'P007199', 'P007982']"
E000056,"['P000020', 'P000148', 'P000160', 'P000301', 'P000348', 'P007111', 'P007408', 'P007983']"
E000057,"['P000020', 'P000148', 'P000160', 'P000301', 'P000348', 'P007111', 'P007319', 'P007983']"
E000058,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007315', 'P007983', 'P007986']"
E000059,"['P000020', 'P000148', 'P000160', 'P000348', 'P007111', 'P007166', 'P007983', 'P007986']"
E000060,"['P000015', 'P000020', 'P000160', 'P000348', 'P000374', 'P007111', 'P007116', 'P007983']"
E000061,"['P000015', 'P000020', 'P000075', 'P000160', 'P000348', 'P007111', 'P007295', 'P007983']"
E000062,"['P000015', 'P000020', 'P000075', 'P000160', 'P000348', 'P007111', 'P007352', 'P007983']"
E000063,"['P000020', 'P000160', 'P000192', 'P000236', 'P000348', 'P007111', 'P007121', 'P007983']"
E000064,"['P000020', 'P000160', 'P000192', 'P000236', 'P000348', 'P007111', 'P007369', 'P007983']"
E000065,"['P000020', 'P000160', 'P000236', 'P000344', 'P000348', 'P007111', 'P007343', 'P007983']"
E000066,"['P000020', 'P000058', 'P000160', 'P000236', 'P000348', 'P007111', 'P007144', 'P007983']"
E000067,"['P000020', 'P000160', 'P000348', 'P002851', 'P006193', 'P007111', 'P007624', 'P007983']"
E000068,"['P000020', 'P000160', 'P000168', 'P000348', 'P007111', 'P007164', 'P007983']"
