id_batiment,nb_infras,total_longueur,nb_intactes,nb_a_remplacer
E000001,4,109.16665309268079,4,0
E000002,4,102.6908145567572,4,0
E000003,4,66.85585082287409,1,3
E000004,5,129.8935193468845,5,0
E000005,5,133.9017768805357,5,0
E000006,4,100.47853227753791,4,0
E000007,4,74.84790078128408,4,0
E000008,4,71.09871117225707,4,0
E000009,4,72.87866100505616,4,0
E000010,4,76.19753020288519,4,0
E000011,4,78.4179009971292,4,0
E000012,4,146.58472162329974,4,0
E000013,4,148.2816484134135,4,0
E000014,4,149.9494643445627,4,0
E000015,6,170.17399221063516,6,0
E000016,6,168.06628676771567,6,0
E000017,5,165.62517518239397,5,0
E000018,5,167.00716605960474,5,0
E000019,5,167.64798899656574,5,0
E000020,5,167.88983471810894,5,0
E000021,5,170.5351415453301,5,0
E000022,5,162.57253403701796,5,0
E000023,5,166.703867804613,5,0
E000024,5,168.4800153834104,5,0
E000025,7,230.39105707228904,7,0
E000026,7,233.50851284584826,7,0
E000027,7,236.80810090307156,7,0
E000028,7,240.39401842995215,7,0
E000029,7,190.21234700607582,7,0
E000030,7,190.4517137710884,7,0
E000031,7,191.8782165419141,7,0
E000032,7,194.002172202905,7,0
E000033,7,195.99482371972312,7,0
E000034,7,182.8205071127393,7,0
E000035,7,190.60196450874366,7,0
E000036,7,200.41762991128712,7,0
E000037,7,202.88805114628337,7,0
E000038,7,209.14504454056447,7,0
E000039,7,173.86595346412082,7,0
E000040,6,158.40104776772063,6,0
E000041,6,166.3468897117583,6,0
E000042,6,191.31874393559218,6,0
E000043,6,192.3855300406388,6,0
E000044,6,195.6201436557021,6,0
E000045,8,212.33296375804196,8,0
E000046,8,219.2374456691427,8,0
E000047,8,220.2781292217191,8,0
E000048,8,222.1595628167237,8,0
E000049,8,241.1608757800658,8,0
E000050,8,241.1159368226607,8,0
E000051,8,241.4508234385679,8,0
E000052,8,242.45219175941452,8,0
E000053,8,222.3095443904533,8,0
E000054,8,222.2950368479114,8,0
E000055,8,223.3593793093872,8,0
E000056,8,223.93098402257917,8,0
E000057,8,224.42253013045956,8,0
E000058,8,235.29135910987978,8,0
E000059,8,237.23168790848337,8,0
E000060,8,189.5444044099395,8,0
E000061,8,209.70347509900455,8,0
E000062,8,219.99121358442966,8,0
E000063,8,200.9074031696697,8,0
E000064,8,201.9334633155412,8,0
E000065,8,207.59712676343764,8,0
E000066,8,208.64166264564267,8,0
E000067,8,184.80184589318793,5,3
E000068,7,192.12418213788538,7,0
E000069,7,195.32164491720897,7,0
E000070,7,205.99760952226893,7,0
E000071,7,211.57835443753845,7,0
E000072,7,199.3202584589526,7,0
E000073,7,201.09831046468554,7,0
E000074,7,201.40223528351265,7,0
E000075,7,213.9197404152138,7,0
E000076,7,215.7261789156837,7,0
E000077,7,217.84215351809794,7,0
E000078,7,218.9917443776249,7,0
E000079,7,221.9634553188304,7,0
E000080,7,226.98425431269152,7,0
E000081,7,204.58457367722983,7,0
E000082,9,271.817055455822,9,0
E000083,9,281.04873552973777,9,0
E000084,9,283.525053995382,9,0
E000085,9,218.63501987598818,6,3
E000086,10,255.55789589120815,10,0
E000087,10,256.29162014679014,10,0
E000088,10,258.0966265767761,10,0
E000089,10,262.2097656034664,10,0
E000090,10,269.8812406053167,10,0
E000091,10,270.3721864721648,10,0
E000092,10,273.71951165950054,10,0
E000093,10,277.4936093506538,10,0
E000094,10,271.209427620688,10,0
E000095,10,272.89123330118605,10,0
E000096,10,274.1703327878244,10,0
E000097,10,278.4860629292828,10,0
E000098,10,274.0223197512211,8,2
E000099,10,305.9934491419245,10,0
E000100,10,309.4154223873246,10,0
E000101,10,284.9469740868343,10,0
E000102,10,286.7245438554049,10,0
E000103,10,319.4663278748542,10,0
E000104,10,321.6919151967209,10,0
E000105,10,320.1024728589315,10,0
E000106,10,226.553956205353,6,4
E000107,10,228.52931756649008,6,4
E000108,10,239.65370629493876,6,4
E000109,10,240.35222301170495,6,4
E000110,10,250.3861766740198,6,4
E000111,8,183.45091256037915,5,3
E000112,11,314.8895864887136,9,2
E000113,11,345.8870800766651,11,0
E000114,11,273.1140068223118,11,0
E000115,11,274.5737979319578,11,0
E000116,11,276.1789538191899,11,0
E000117,11,279.8420343055265,11,0
E000118,12,371.39692874506073,12,0
E000119,12,373.3354074826564,12,0
E000120,12,341.5127738840893,12,0
E000121,13,379.5038061655094,13,0
E000122,13,415.42758233677927,13,0
E000123,12,376.88673842796436,12,0
E000124,11,316.7336797600837,11,0
E000125,11,319.1638662903739,11,0
E000126,11,329.8298777716109,11,0
E000127,13,344.1561716389927,10,3
E000128,13,293.71500395357134,10,3
E000129,13,323.419465033639,10,3
E000130,14,387.6614283375728,14,0
E000131,14,396.0472479887335,14,0
E000132,14,401.66220161702586,14,0
E000133,14,402.0009771760364,14,0
E000134,14,407.3156397608021,14,0
E000135,14,430.411535900831,14,0
E000136,14,434.81615887772074,14,0
E000137,14,441.34854798382287,14,0
E000138,14,446.4440029907174,14,0
E000139,11,317.1620433522784,11,0
E000140,11,317.671655460854,11,0
E000141,11,322.8301903816442,11,0
E000142,11,318.7754507715783,11,0
E000143,11,323.4797959844918,11,0
E000144,14,367.9825706764266,10,4
E000145,14,357.31808504726354,10,4
E000146,13,327.4372443720808,7,6
E000147,15,554.3388890204333,15,0
E000148,15,481.20930292232947,15,0
E000149,15,487.73103994677837,15,0
E000150,15,482.07392525072817,15,0
