phase,id_batiment,nb_infras_reparees,cout_total,duree_totale,liste_infras_reparees
1,E000085,3,18483.264358941567,77.91654959839335,"['P005500', 'P007447', 'P007990']"
2,E000106,2,8436.518516833148,44.43638509657634,"['P001391', 'P007752']"
3,E000107,1,2551.8563928878502,10.2074255715514,['P007689']
4,E000112,2,10442.5347037063,41.7701388148252,"['P005664', 'P007448']"
5,E000274,2,10580.306905273364,42.321227621093456,"['P005781', 'P007539']"
6,E000098,2,12944.177645733216,60.3626350132637,"['P005531', 'P007639']"
7,E000364,3,12359.280468745865,49.43712187498346,"['P004862', 'P007518', 'P008031']"
8,E000365,1,8920.226196766045,49.556812204255806,['P007780']
9,E000127,3,14634.412304529207,66.7362145407099,"['P000873', 'P005117', 'P007790']"
10,E000222,2,13689.65046777896,63.29690389417812,"['P005820', 'P007627']"
11,E000111,3,13420.373244887322,55.59281773692445,"['P005770', 'P007813', 'P007985']"
12,E000128,3,16148.233437834475,69.1636323652628,"['P001156', 'P005317', 'P007679']"
13,E000373,3,19402.41457415171,91.57534957309781,"['P004209', 'P007514', 'P008032']"
14,E000376,2,9916.237505247858,43.68931889024575,"['P004211', 'P007506']"
15,E000378,3,16366.172729933985,65.46469091973594,"['P004234', 'P007497', 'P008035']"
16,E000381,2,10513.99935542402,49.4977577812563,"['P007459', 'P008036']"
17,E000377,2,14573.769115695948,79.27533126124621,"['P004196', 'P007703']"
18,E000380,2,11723.021386204478,60.59987882471439,"['P004185', 'P007463']"
19,E000374,2,18990.69024826881,105.50383471260449,"['P007534', 'P008034']"
20,E000266,3,19331.493618892855,86.97560321326495,"['P006709', 'P007692', 'P008025']"
21,E000293,2,11380.54463315601,51.75462211075655,"['P003849', 'P007713']"
22,E000252,2,18187.61964111698,90.68561810479261,"['P007698', 'P007988']"
23,E000145,3,19296.269630123792,101.8765255351177,"['P007638', 'P008002', 'P008007']"
24,E000144,2,13170.51532384511,59.20619843645049,"['P007737', 'P008006']"
25,E000268,3,20294.061070636693,94.86308667724003,"['P003569', 'P006457', 'P007696']"
26,E000267,1,8056.301056853166,44.757228093628704,['P007777']
27,E000301,4,17680.358804442236,83.13254999725616,"['P003202', 'P005726', 'P007597', 'P007994']"
28,E000315,3,12929.34895671269,51.71739582685076,"['P003330', 'P007770', 'P007995']"
29,E000316,2,5710.147589853481,22.840590359413923,"['P007662', 'P007996']"
30,E000067,3,21125.102689788968,112.36455543632434,"['P002851', 'P006193', 'P007624']"
31,E000188,3,16186.89612333953,81.68989006438206,"['P002445', 'P005915', 'P007764']"
32,E000322,3,23170.67711359853,110.261497014586,"['P003802', 'P006712', 'P007602']"
33,E000346,2,12078.219128232584,60.09440687784124,"['P003870', 'P007699']"
