id_batiment,type_batiment,nb_maisons,fid,coords,liste_infras,total_longueur,nb_intactes,nb_a_remplacer,longueur_a_remplacer
E000001,habitation,3,0,"[(531436.65242955, 259655.5070145115)]","['P000308', 'P007111', 'P007819', 'P007983']",109.1666530926808,4,0,0.0
E000002,habitation,3,1,"[(531445.6628026704, 259480.5041201503)]","['P000308', 'P007111', 'P007240', 'P007983']",102.6908145567572,4,0,0.0
E000003,habitation,1,2,"[(531529.6575195842, 259588.50594791403)]","['P007111', 'P007113', 'P007823', 'P007984']",66.85585082287409,1,3,54.5413894872048
E000004,habitation,2,3,"[(531217.64198611, 259637.50437344395)]","['P000308', 'P000378', 'P007111', 'P007393', 'P007983']",129.8935193468845,5,0,0.0
E000005,habitation,7,4,"[(531369.6487738496, 259611.5054945395)]","['P000308', 'P000378', 'P007111', 'P007249', 'P007983']",133.9017768805357,5,0,0.0
E000006,habitation,4,5,"[(531311.6596285771, 259469.50563187932)]","['P000308', 'P007111', 'P007173', 'P007983']",100.47853227753792,4,0,0.0
E000007,habitation,1,6,"[(531238.651625287, 259514.50356972497)]","['P000181', 'P007111', 'P007132', 'P007982']",74.84790078128408,4,0,0.0
E000008,habitation,6,7,"[(531247.648000662, 259643.50762080465)]","['P000352', 'P007111', 'P007320', 'P007982']",71.09871117225707,4,0,0.0
E000009,habitation,2,8,"[(531373.6562804552, 259514.49755635584)]","['P000352', 'P007111', 'P007286', 'P007982']",72.87866100505616,4,0,0.0
E000010,habitation,5,9,"[(531485.653365691, 259626.50203741906)]","['P000352', 'P007111', 'P007115', 'P007982']",76.19753020288519,4,0,0.0
E000011,habitation,8,10,"[(531435.6626708077, 259422.50006760476)]","['P000352', 'P007111', 'P007321', 'P007982']",78.4179009971292,4,0,0.0
E000012,habitation,7,11,"[(531269.6519975577, 259563.50340843888)]","['P000241', 'P007111', 'P007150', 'P007982']",146.58472162329974,4,0,0.0
E000013,habitation,3,12,"[(531394.6693239377, 259382.50487903005)]","['P000241', 'P007111', 'P007151', 'P007982']",148.2816484134135,4,0,0.0
E000014,habitation,5,13,"[(531273.6437231889, 259700.51047118538)]","['P000241', 'P007111', 'P007397', 'P007982']",149.9494643445627,4,0,0.0
E000015,habitation,6,14,"[(531418.6527003692, 259569.5009177334)]","['P000020', 'P000160', 'P000348', 'P007111', 'P007255', 'P007983']",170.17399221063516,6,0,0.0
E000016,habitation,5,15,"[(531391.6476602776, 259655.5041893751)]","['P000020', 'P000160', 'P000348', 'P007111', 'P007333', 'P007983']",168.06628676771567,6,0,0.0
E000017,habitation,7,16,"[(531302.6727072415, 259376.8165390406)]","['P000029', 'P000241', 'P007111', 'P007325', 'P007982']",165.62517518239397,5,0,0.0
E000018,habitation,3,17,"[(531175.6331702287, 259821.50526568393)]","['P000029', 'P000241', 'P007111', 'P007381', 'P007982']",167.00716605960474,5,0,0.0
E000019,habitation,2,18,"[(531285.6401333461, 259692.50362495088)]","['P000170', 'P000241', 'P007111', 'P007215', 'P007982']",167.64798899656574,5,0,0.0
E000020,habitation,7,19,"[(531459.6490127636, 259649.50630527118)]","['P000170', 'P000241', 'P007111', 'P007145', 'P007982']",167.88983471810894,5,0,0.0
E000021,habitation,3,20,"[(531220.6394805966, 259721.50964845374)]","['P000170', 'P000241', 'P007111', 'P007225', 'P007982']",170.5351415453301,5,0,0.0
E000022,habitation,6,21,"[(531189.6348773588, 259793.5074673182)]","['P000040', 'P000241', 'P007111', 'P007277', 'P007982']",162.57253403701796,5,0,0.0
E000023,habitation,2,22,"[(531263.637107697, 259773.50943256746)]","['P000241', 'P000298', 'P007111', 'P007122', 'P007982']",166.703867804613,5,0,0.0
E000024,habitation,7,23,"[(531422.6639181357, 259484.50159096468)]","['P000241', 'P000298', 'P007111', 'P007368', 'P007982']",168.4800153834104,5,0,0.0
E000025,habitation,7,24,"[(531344.6559062628, 259510.5012444278)]","['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007251', 'P007982']",230.39105707228904,7,0,0.0
E000026,habitation,1,25,"[(531116.6319534723, 259814.5124039749)]","['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007243', 'P007982']",233.50851284584823,7,0,0.0
E000027,habitation,5,26,"[(531437.6567356078, 259562.5038545574)]","['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007146', 'P007982']",236.8081009030716,7,0,0.0
E000028,habitation,6,27,"[(531403.649991208, 259629.5017031611)]","['P000181', 'P000381', 'P000394', 'P000395', 'P007111', 'P007338', 'P007982']",240.39401842995213,7,0,0.0
