id_batiment,nb_maisons,infra_id,infra_type,longueur,type_infra
E000001,4,P000308,Intacte,39.1407985664577,fourreau
E000001,4,P007111,Intacte,12.3144613356693,fourreau
E000001,4,P007819,Intacte,17.3904643240185,fourreau
E000001,4,P007983,Intacte,40.3209288665353,aerien
E000002,1,P000308,Intacte,39.1407985664577,fourreau
E000002,1,P007111,Intacte,12.3144613356693,fourreau
E000002,1,P007240,Intacte,10.9146257880949,aerien
E000002,1,P007983,Intacte,40.3209288665353,aerien
E000003,1,P007111,Intacte,12.3144613356693,fourreau
E000003,1,P007113,remplacer,12.1935087083631,aerien
E000003,1,P007823,remplacer,12.290282829583,aerien
E000003,1,P007984,remplacer,30.0575979492587,aerien
E000004,1,P000308,Intacte,39.1407985664577,fourreau
E000004,1,P000378,Intacte,27.4818057324541,aerien
E000004,1,P007111,Intacte,12.3144613356693,fourreau
E000004,1,P007393,Intacte,10.6355248457681,fourreau
E000004,1,P007983,Intacte,40.3209288665353,aerien
E000005,1,P000308,Intacte,39.1407985664577,fourreau
E000005,1,P000378,Intacte,27.4818057324541,aerien
E000005,1,P007111,Intacte,12.3144613356693,fourreau
E000005,1,P007249,Intacte,14.6437823794193,aerien
E000005,1,P007983,Intacte,40.3209288665353,aerien
E000006,1,P000308,Intacte,39.1407985664577,fourreau
E000006,1,P007111,Intacte,12.3144613356693,fourreau
E000006,1,P007173,Intacte,8.70234350887561,aerien
E000006,1,P007983,Intacte,40.3209288665353,aerien
E000007,1,P000181,Intacte,6.18934271279126,aerien
E000007,1,P007111,Intacte,12.3144613356693,fourreau
E000007,1,P007132,Intacte,6.38798150462252,aerien
E000007,1,P007982,Intacte,49.956115228201,fourreau
E000008,1,P000352,Intacte,3.33298661989259,aerien
E000008,1,P007111,Intacte,12.3144613356693,fourreau
E000008,1,P007320,Intacte,5.49514798849418,fourreau
E000008,1,P007982,Intacte,49.956115228201,fourreau
E000009,1,P000352,Intacte,3.33298661989259,aerien
E000009,1,P007111,Intacte,12.3144613356693,fourreau
E000009,1,P007286,Intacte,7.27509782129326,aerien
E000009,1,P007982,Intacte,49.956115228201,fourreau
E000010,1,P000352,Intacte,3.33298661989259,aerien
E000010,1,P007111,Intacte,12.3144613356693,fourreau
E000010,1,P007115,Intacte,10.5939670191223,semi-aerien
E000010,1,P007982,Intacte,49.956115228201,fourreau
E000011,1,P000352,Intacte,3.33298661989259,aerien
E000011,1,P007111,Intacte,12.3144613356693,fourreau
E000011,1,P007321,Intacte,12.8143378133663,fourreau
E000011,1,P007982,Intacte,49.956115228201,fourreau
E000012,1,P000241,Intacte,75.9819951693543,fourreau
E000012,1,P007111,Intacte,12.3144613356693,fourreau
E000012,1,P007150,Intacte,8.33214989007513,fourreau
E000012,1,P007982,Intacte,49.956115228201,fourreau
E000013,1,P000241,Intacte,75.9819951693543,fourreau
E000013,1,P007111,Intacte,12.3144613356693,fourreau
E000013,1,P007151,Intacte,10.0290766801889,aerien
E000013,1,P007982,Intacte,49.956115228201,fourreau
E000014,1,P000241,Intacte,75.9819951693543,fourreau
E000014,1,P007111,Intacte,12.3144613356693,fourreau
E000014,1,P007397,Intacte,11.6968926113381,aerien
E000014,1,P007982,Intacte,49.956115228201,fourreau
E000015,1,P000020,Intacte,51.3121054948589,aerien
E000015,1,P000160,Intacte,44.6252544771484,semi-aerien
E000015,1,P000348,Intacte,9.12960147203556,aerien
E000015,1,P007111,Intacte,12.3144613356693,fourreau
E000015,1,P007255,Intacte,12.4716405643877,semi-aerien
E000015,1,P007983,Intacte,40.3209288665353,aerien
E000016,1,P000020,Intacte,51.3121054948589,aerien
E000016,1,P000160,Intacte,44.6252544771484,semi-aerien
E000016,1,P000348,Intacte,9.12960147203556,aerien
E000016,1,P007111,Intacte,12.3144613356693,fourreau
E000016,1,P007333,Intacte,10.3639351214682,aerien
E000016,1,P007983,Intacte,40.3209288665353,aerien
